Sequence Length;Repetition Number;Sequence;True Value;GPT-4 Value;
16;9;Compute the sum of the following numbers: 89, 64, 78, 96, 100, 58, 54, 57, 48, 92, 50, 55, 74, 77, 88, 73;1153;1303;
16;10;Compute the sum of the following numbers: 76, 85, 28, 72, 46, 74, 28, 70, 21, 20, 53, 74, 53, 42, 50, 21;813;862;
16;11;Compute the sum of the following numbers: 86, 36, 44, 46, 59, 39, 26, 74, 88, 14, 74, 76, 37, 51, 78, 30;858;953;
16;12;Compute the sum of the following numbers: 59, 50, 18, 51, 62, 34, 64, 97, 60, 29, 97, 57, 73, 70, 91, 85;997;972;
16;13;Compute the sum of the following numbers: 10, 32, 92, 85, 43, 46, 82, 66, 21, 7, 77, 78, 43, 93, 82, 79;936;985;
16;14;Compute the sum of the following numbers: 36, 16, 23, 36, 40, 4, 19, 81, 22, 46, 63, 70, 92, 30, 100, 65;743;837;
16;15;Compute the sum of the following numbers: 86, 6, 29, 5, 67, 37, 10, 72, 69, 94, 21, 9, 49, 43, 2, 13;612;612;
16;16;Compute the sum of the following numbers: 52, 18, 77, 84, 65, 17, 55, 33, 82, 34, 20, 78, 15, 98, 38, 74;840;866;
16;17;Compute the sum of the following numbers: 43, 27, 14, 4, 91, 11, 70, 22, 60, 21, 73, 83, 21, 78, 65, 41;724;804;
16;18;Compute the sum of the following numbers: 28, 38, 33, 40, 54, 2, 8, 40, 19, 53, 96, 100, 74, 96, 73, 25;779;851;
16;19;Compute the sum of the following numbers: 50, 41, 85, 39, 50, 96, 63, 56, 74, 47, 22, 55, 6, 27, 86, 93;890;965;
17;0;Compute the sum of the following numbers: 84, 77, 77, 54, 27, 34, 69, 41, 90, 43, 53, 74, 62, 8, 36, 40, 79;948;979;
17;1;Compute the sum of the following numbers: 83, 61, 33, 36, 35, 62, 12, 41, 49, 85, 38, 36, 94, 69, 43, 79, 9;865;941;
17;2;Compute the sum of the following numbers: 58, 82, 87, 77, 89, 11, 36, 36, 82, 22, 55, 16, 46, 60, 12, 98, 61;928;947;
17;3;Compute the sum of the following numbers: 4, 60, 94, 35, 21, 13, 90, 67, 9, 32, 52, 69, 78, 20, 12, 73, 37;766;877;
17;4;Compute the sum of the following numbers: 86, 93, 20, 90, 43, 24, 82, 32, 24, 12, 18, 45, 76, 71, 67, 26, 91;900;945;
17;5;Compute the sum of the following numbers: 50, 29, 91, 59, 29, 37, 100, 39, 77, 3, 84, 36, 73, 63, 38, 23, 37;868;877;
17;6;Compute the sum of the following numbers: 48, 74, 48, 98, 2, 27, 29, 73, 10, 79, 13, 33, 4, 40, 47, 3, 89;717;787;
17;7;Compute the sum of the following numbers: 44, 27, 48, 14, 97, 21, 75, 82, 94, 59, 30, 19, 29, 30, 47, 80, 85;881;826;
17;8;Compute the sum of the following numbers: 91, 85, 58, 59, 14, 35, 9, 51, 58, 80, 92, 84, 52, 37, 5, 36, 74;920;985;
17;9;Compute the sum of the following numbers: 97, 3, 96, 87, 70, 99, 52, 86, 80, 99, 28, 88, 86, 8, 77, 90, 10;1156;1048;
17;10;Compute the sum of the following numbers: 6, 46, 56, 55, 87, 73, 38, 67, 19, 40, 76, 38, 74, 42, 73, 68, 28;886;1026;
17;11;Compute the sum of the following numbers: 75, 41, 28, 81, 65, 52, 51, 81, 32, 93, 48, 1, 85, 57, 67, 27, 84;968;1007;
17;12;Compute the sum of the following numbers: 15, 92, 47, 27, 66, 6, 43, 16, 99, 19, 31, 94, 46, 72, 73, 85, 35;866;846;
17;13;Compute the sum of the following numbers: 9, 13, 30, 39, 93, 25, 74, 72, 27, 64, 83, 73, 36, 44, 100, 89, 22;893;931;
17;14;Compute the sum of the following numbers: 46, 91, 36, 92, 36, 40, 37, 69, 98, 10, 72, 51, 57, 66, 58, 20, 37;916;928;
17;15;Compute the sum of the following numbers: 39, 95, 41, 3, 15, 99, 3, 38, 62, 64, 67, 81, 5, 32, 72, 41, 99;856;907;
17;16;Compute the sum of the following numbers: 10, 17, 77, 79, 92, 37, 61, 62, 56, 77, 37, 47, 23, 28, 71, 16, 94;884;905;
17;17;Compute the sum of the following numbers: 16, 54, 9, 39, 75, 15, 30, 95, 98, 40, 49, 35, 63, 36, 60, 14, 87;815;891;
17;18;Compute the sum of the following numbers: 90, 14, 68, 37, 50, 25, 22, 82, 37, 95, 62, 31, 98, 41, 13, 71, 76;912;985;
17;19;Compute the sum of the following numbers: 54, 84, 32, 66, 42, 100, 65, 36, 67, 93, 66, 73, 31, 68, 19, 9, 71;976;946;
18;0;Compute the sum of the following numbers: 66, 56, 75, 17, 84, 85, 43, 93, 76, 17, 51, 29, 3, 58, 54, 14, 6, 96;923;903;
18;1;Compute the sum of the following numbers: 50, 7, 90, 56, 99, 93, 49, 30, 77, 21, 31, 61, 46, 96, 82, 67, 20, 16;991;1050;
18;2;Compute the sum of the following numbers: 89, 10, 59, 72, 13, 35, 93, 88, 96, 12, 28, 2, 19, 73, 43, 5, 52, 6;795;737;
18;3;Compute the sum of the following numbers: 95, 60, 92, 77, 29, 14, 31, 17, 7, 81, 29, 17, 37, 56, 53, 12, 30, 33;770;796;
18;4;Compute the sum of the following numbers: 64, 74, 85, 72, 12, 75, 19, 100, 6, 44, 9, 90, 89, 67, 27, 86, 77, 44;1040;1020;
18;5;Compute the sum of the following numbers: 8, 56, 62, 45, 2, 37, 55, 81, 20, 24, 68, 46, 10, 77, 9, 56, 47, 63;766;790;
18;6;Compute the sum of the following numbers: 36, 9, 88, 82, 58, 91, 12, 69, 71, 30, 97, 32, 69, 95, 34, 8, 71, 4;956;1047;
18;7;Compute the sum of the following numbers: 95, 8, 87, 70, 29, 73, 27, 87, 54, 98, 40, 57, 72, 54, 18, 2, 57, 26;954;1000;
18;8;Compute the sum of the following numbers: 50, 21, 34, 18, 61, 94, 94, 75, 22, 62, 47, 77, 8, 50, 3, 32, 75, 1;824;848;
18;9;Compute the sum of the following numbers: 16, 96, 14, 26, 25, 73, 51, 30, 77, 29, 51, 28, 76, 99, 17, 91, 13, 26;838;908;
18;10;Compute the sum of the following numbers: 34, 78, 87, 59, 97, 27, 90, 12, 15, 58, 99, 31, 35, 94, 58, 1, 26, 18;919;922;
18;11;Compute the sum of the following numbers: 61, 78, 45, 69, 75, 41, 73, 75, 88, 36, 76, 21, 73, 28, 74, 42, 14, 56;1025;1057;
18;12;Compute the sum of the following numbers: 99, 99, 93, 34, 12, 25, 22, 72, 69, 26, 91, 52, 48, 62, 4, 36, 79, 95;1018;1031;
18;13;Compute the sum of the following numbers: 98, 65, 82, 80, 78, 62, 13, 42, 71, 23, 22, 94, 67, 22, 47, 97, 5, 60;1028;996;
18;14;Compute the sum of the following numbers: 84, 30, 38, 42, 21, 14, 19, 59, 32, 42, 26, 56, 23, 96, 92, 18, 50, 64;806;807;
18;15;Compute the sum of the following numbers: 57, 2, 22, 81, 84, 24, 77, 21, 78, 64, 79, 39, 92, 94, 61, 45, 65, 7;992;1099;
18;16;Compute the sum of the following numbers: 74, 94, 22, 4, 99, 83, 38, 42, 82, 38, 79, 50, 69, 17, 86, 56, 4, 40;977;1035;
18;17;Compute the sum of the following numbers: 91, 67, 32, 80, 45, 72, 67, 77, 73, 23, 26, 37, 78, 96, 47, 43, 61, 1;1016;1035;
18;18;Compute the sum of the following numbers: 90, 100, 23, 10, 38, 88, 16, 28, 68, 82, 56, 2, 51, 36, 70, 47, 88, 40;933;958;
18;19;Compute the sum of the following numbers: 62, 3, 96, 54, 11, 20, 100, 56, 77, 87, 31, 69, 19, 42, 55, 98, 23, 36;939;985;
19;0;Compute the sum of the following numbers: 52, 57, 45, 71, 39, 63, 81, 73, 77, 58, 26, 25, 16, 27, 4, 25, 97, 61, 29;926;978;
19;1;Compute the sum of the following numbers: 29, 76, 9, 56, 73, 3, 55, 56, 59, 15, 45, 62, 70, 5, 13, 40, 10, 30, 49;755;725;
19;2;Compute the sum of the following numbers: 38, 59, 98, 76, 57, 78, 13, 5, 82, 82, 63, 27, 85, 43, 76, 75, 85, 31, 17;1090;1056;
19;3;Compute the sum of the following numbers: 26, 17, 43, 63, 75, 73, 25, 57, 73, 5, 63, 95, 98, 17, 19, 10, 75, 70, 62;966;1033;
19;4;Compute the sum of the following numbers: 61, 94, 92, 1, 39, 62, 59, 26, 50, 39, 29, 45, 17, 54, 26, 85, 99, 18, 15;911;977;
19;5;Compute the sum of the following numbers: 21, 20, 58, 24, 88, 31, 64, 77, 66, 65, 41, 21, 15, 54, 75, 58, 45, 22, 28;873;900;
19;6;Compute the sum of the following numbers: 57, 76, 10, 50, 29, 39, 24, 48, 65, 68, 59, 73, 92, 8, 91, 64, 25, 5, 74;957;928;
19;7;Compute the sum of the following numbers: 74, 68, 68, 39, 67, 80, 4, 43, 95, 16, 58, 32, 38, 10, 71, 43, 31, 77, 72;986;1035;
19;8;Compute the sum of the following numbers: 4, 9, 7, 60, 2, 27, 81, 8, 71, 51, 5, 11, 35, 63, 65, 98, 93, 3, 1;694;802;
19;9;Compute the sum of the following numbers: 3, 18, 2, 46, 46, 80, 29, 90, 22, 88, 21, 82, 33, 10, 98, 33, 88, 99, 43;931;955;
19;10;Compute the sum of the following numbers: 99, 94, 37, 60, 32, 52, 56, 84, 80, 81, 72, 76, 22, 81, 82, 36, 94, 59, 79;1276;1302;
19;11;Compute the sum of the following numbers: 56, 31, 93, 70, 70, 78, 27, 28, 81, 2, 88, 91, 17, 46, 83, 44, 35, 16, 64;1020;1039;
19;12;Compute the sum of the following numbers: 6, 77, 21, 44, 62, 83, 46, 43, 74, 36, 53, 11, 23, 14, 78, 44, 1, 86, 74;876;879;
19;13;Compute the sum of the following numbers: 78, 1, 67, 3, 31, 14, 14, 87, 74, 86, 43, 8, 96, 95, 42, 30, 47, 35, 72;923;900;
19;14;Compute the sum of the following numbers: 81, 78, 89, 62, 100, 35, 80, 12, 100, 14, 50, 28, 3, 23, 86, 16, 1, 6, 37;901;994;
19;15;Compute the sum of the following numbers: 78, 99, 48, 12, 77, 90, 95, 4, 4, 21, 70, 54, 78, 85, 6, 17, 30, 82, 87;1037;1087;
19;16;Compute the sum of the following numbers: 29, 100, 35, 67, 9, 93, 11, 23, 67, 92, 38, 53, 69, 32, 23, 63, 31, 40, 72;947;941;
19;17;Compute the sum of the following numbers: 55, 67, 57, 55, 85, 77, 69, 26, 81, 61, 76, 99, 63, 20, 86, 86, 90, 64, 7;1224;1243;
19;18;Compute the sum of the following numbers: 14, 89, 87, 99, 90, 14, 13, 11, 81, 18, 37, 18, 40, 59, 54, 12, 5, 36, 55;832;887;
19;19;Compute the sum of the following numbers: 39, 1, 66, 46, 88, 82, 6, 27, 93, 40, 89, 41, 64, 42, 42, 12, 59, 30, 52;919;966;
20;0;Compute the sum of the following numbers: 16, 86, 52, 92, 42, 88, 63, 84, 80, 35, 69, 17, 61, 14, 54, 86, 5, 52, 22, 72;1090;1192;
20;1;Compute the sum of the following numbers: 60, 38, 93, 56, 74, 40, 18, 41, 28, 57, 55, 43, 45, 84, 68, 5, 16, 95, 42, 69;1027;1034;
20;2;Compute the sum of the following numbers: 77, 46, 47, 49, 90, 16, 43, 25, 66, 76, 5, 15, 73, 82, 62, 89, 64, 82, 5, 30;1042;1073;
20;3;Compute the sum of the following numbers: 73, 52, 38, 66, 35, 66, 75, 68, 47, 2, 90, 6, 11, 18, 34, 28, 21, 19, 83, 47;879;908;
20;4;Compute the sum of the following numbers: 29, 86, 16, 81, 29, 45, 87, 26, 14, 46, 54, 15, 64, 20, 29, 46, 49, 55, 34, 71;896;930;
20;5;Compute the sum of the following numbers: 10, 27, 22, 67, 3, 36, 76, 3, 97, 58, 35, 31, 68, 10, 88, 33, 12, 75, 49, 60;860;914;
20;6;Compute the sum of the following numbers: 40, 58, 71, 74, 8, 91, 54, 42, 53, 73, 38, 25, 71, 71, 43, 71, 22, 38, 80, 36;1059;1037;
20;7;Compute the sum of the following numbers: 14, 12, 37, 93, 23, 85, 61, 58, 13, 45, 70, 51, 68, 52, 48, 36, 35, 19, 16, 83;919;891;
20;8;Compute the sum of the following numbers: 29, 95, 93, 59, 13, 95, 14, 67, 18, 99, 56, 89, 10, 59, 80, 85, 11, 78, 85, 6;1141;1241;
20;9;Compute the sum of the following numbers: 67, 93, 6, 96, 30, 4, 19, 35, 41, 70, 71, 91, 33, 72, 46, 50, 18, 81, 81, 81;1085;1055;
20;10;Compute the sum of the following numbers: 67, 50, 41, 99, 85, 86, 35, 80, 17, 59, 74, 72, 27, 46, 15, 13, 72, 7, 47, 83;1075;1038;
20;11;Compute the sum of the following numbers: 30, 43, 76, 72, 100, 91, 70, 28, 40, 15, 94, 78, 24, 14, 75, 56, 39, 8, 17, 99;1069;1059;
20;12;Compute the sum of the following numbers: 73, 48, 15, 25, 74, 96, 89, 4, 28, 95, 87, 15, 58, 87, 23, 89, 12, 82, 31, 28;1059;1102;
20;13;Compute the sum of the following numbers: 77, 96, 61, 59, 16, 69, 9, 46, 17, 82, 97, 35, 61, 56, 76, 70, 53, 41, 40, 21;1082;1086;
20;14;Compute the sum of the following numbers: 57, 23, 18, 14, 30, 25, 91, 55, 66, 21, 82, 36, 34, 57, 18, 87, 83, 82, 58, 30;967;952;
20;15;Compute the sum of the following numbers: 65, 83, 6, 48, 93, 44, 26, 74, 10, 59, 76, 82, 88, 3, 59, 15, 9, 56, 97, 93;1086;1048;
20;16;Compute the sum of the following numbers: 70, 25, 75, 52, 82, 75, 73, 84, 65, 63, 20, 77, 17, 83, 25, 72, 34, 86, 10, 34;1122;1075;
20;17;Compute the sum of the following numbers: 47, 48, 83, 40, 64, 100, 58, 91, 99, 2, 85, 80, 99, 73, 91, 9, 28, 37, 18, 81;1233;1296;
20;18;Compute the sum of the following numbers: 65, 94, 31, 1, 62, 69, 15, 62, 42, 44, 32, 48, 88, 28, 17, 40, 49, 68, 89, 62;1006;1096;
20;19;Compute the sum of the following numbers: 89, 96, 65, 85, 50, 74, 99, 63, 18, 71, 2, 24, 37, 43, 16, 63, 65, 70, 53, 9;1092;1095;
21;0;Compute the sum of the following numbers: 95, 84, 22, 91, 91, 97, 25, 50, 11, 98, 60, 86, 46, 69, 33, 66, 12, 85, 99, 36, 3;1259;1248;
21;1;Compute the sum of the following numbers: 26, 88, 85, 42, 76, 11, 63, 10, 68, 57, 97, 45, 59, 100, 29, 44, 27, 85, 90, 1, 53;1156;1023;
21;2;Compute the sum of the following numbers: 7, 85, 94, 23, 92, 74, 40, 30, 77, 60, 89, 70, 38, 94, 42, 4, 69, 57, 88, 84, 87;1304;1485;
21;3;Compute the sum of the following numbers: 20, 94, 32, 50, 99, 52, 12, 36, 28, 11, 90, 67, 79, 36, 22, 54, 20, 100, 23, 33, 59;1017;1048;
21;4;Compute the sum of the following numbers: 75, 89, 52, 31, 73, 69, 32, 59, 32, 92, 49, 25, 14, 66, 70, 45, 66, 44, 70, 57, 5;1115;1035;
21;5;Compute the sum of the following numbers: 50, 36, 8, 93, 48, 1, 82, 6, 26, 71, 16, 14, 6, 56, 91, 6, 89, 56, 8, 93, 28;884;928;
21;6;Compute the sum of the following numbers: 14, 27, 84, 81, 20, 10, 68, 74, 42, 63, 49, 32, 46, 63, 27, 12, 96, 55, 93, 9, 59;1024;1004;
21;7;Compute the sum of the following numbers: 96, 30, 75, 72, 71, 50, 76, 94, 94, 100, 74, 62, 71, 15, 57, 77, 38, 100, 86, 59, 79;1476;1545;
21;8;Compute the sum of the following numbers: 84, 22, 8, 46, 49, 16, 44, 24, 99, 10, 71, 7, 100, 20, 77, 19, 99, 57, 75, 94, 7;1028;1086;
21;9;Compute the sum of the following numbers: 52, 28, 3, 93, 51, 75, 3, 57, 56, 48, 63, 40, 65, 83, 45, 68, 67, 91, 93, 85, 3;1169;1344;
21;10;Compute the sum of the following numbers: 17, 28, 87, 28, 53, 41, 78, 28, 60, 23, 92, 52, 7, 29, 4, 42, 60, 2, 16, 74, 43;864;755;
21;11;Compute the sum of the following numbers: 73, 74, 66, 67, 21, 32, 88, 46, 11, 46, 42, 47, 41, 61, 48, 71, 80, 68, 74, 43, 81;1180;1250;
21;12;Compute the sum of the following numbers: 35, 92, 57, 16, 65, 2, 75, 2, 19, 31, 24, 10, 87, 61, 97, 96, 63, 85, 35, 100, 54;1106;1148;
21;13;Compute the sum of the following numbers: 25, 91, 67, 68, 1, 6, 47, 14, 49, 52, 82, 91, 67, 11, 34, 72, 70, 21, 7, 57, 98;1030;1059;
21;14;Compute the sum of the following numbers: 70, 45, 70, 96, 92, 42, 55, 95, 85, 65, 55, 76, 34, 62, 7, 4, 86, 26, 68, 82, 12;1227;1222;
21;15;Compute the sum of the following numbers: 60, 93, 7, 28, 47, 64, 88, 33, 48, 75, 74, 53, 82, 34, 2, 80, 45, 14, 12, 9, 77;1025;996;
21;16;Compute the sum of the following numbers: 70, 49, 77, 21, 10, 71, 40, 10, 81, 52, 23, 34, 83, 33, 27, 90, 21, 74, 29, 39, 92;1026;1064;
21;17;Compute the sum of the following numbers: 43, 56, 92, 4, 96, 79, 34, 35, 50, 28, 33, 7, 64, 48, 82, 31, 80, 93, 97, 24, 66;1142;1032;
21;18;Compute the sum of the following numbers: 65, 40, 15, 32, 23, 26, 23, 44, 32, 43, 56, 3, 14, 35, 82, 27, 56, 27, 32, 99, 58;832;826;
21;19;Compute the sum of the following numbers: 25, 75, 15, 33, 21, 76, 48, 44, 29, 43, 75, 48, 48, 36, 78, 45, 93, 28, 43, 6, 82;991;992;
22;0;Compute the sum of the following numbers: 55, 35, 69, 99, 86, 71, 42, 52, 94, 65, 30, 36, 81, 41, 49, 17, 7, 47, 41, 82, 22, 37;1158;1059;
22;1;Compute the sum of the following numbers: 34, 48, 9, 24, 61, 56, 58, 76, 65, 34, 76, 40, 61, 87, 19, 75, 21, 43, 51, 15, 54, 89;1096;1244;
22;2;Compute the sum of the following numbers: 80, 56, 4, 25, 94, 69, 36, 62, 11, 86, 34, 8, 49, 72, 28, 71, 68, 91, 26, 85, 20, 58;1133;1154;
22;3;Compute the sum of the following numbers: 38, 28, 85, 38, 68, 83, 47, 38, 80, 47, 51, 37, 9, 96, 77, 80, 63, 91, 60, 81, 59, 64;1320;1094;
22;4;Compute the sum of the following numbers: 44, 81, 40, 28, 62, 78, 73, 38, 65, 21, 3, 82, 24, 19, 50, 1, 97, 84, 11, 13, 70, 60;1044;1038;
22;5;Compute the sum of the following numbers: 56, 12, 79, 6, 21, 3, 4, 43, 7, 9, 21, 65, 91, 8, 65, 100, 26, 36, 10, 40, 24, 61;787;807;
22;6;Compute the sum of the following numbers: 68, 80, 33, 13, 47, 45, 24, 57, 57, 77, 78, 90, 6, 58, 25, 41, 49, 86, 92, 14, 68, 14;1122;1088;
22;7;Compute the sum of the following numbers: 97, 60, 61, 60, 100, 41, 16, 20, 8, 33, 10, 89, 82, 92, 90, 26, 75, 91, 22, 8, 20, 44;1145;1225;
22;8;Compute the sum of the following numbers: 10, 37, 36, 2, 43, 35, 63, 60, 94, 30, 26, 90, 43, 62, 53, 4, 50, 85, 32, 12, 77, 96;1040;1068;
22;9;Compute the sum of the following numbers: 49, 70, 31, 69, 51, 3, 87, 6, 11, 60, 9, 83, 78, 42, 1, 82, 90, 1, 51, 28, 43, 4;949;1019;
22;10;Compute the sum of the following numbers: 99, 55, 31, 69, 55, 87, 35, 12, 90, 27, 27, 82, 1, 24, 90, 89, 52, 33, 19, 30, 88, 72;1167;1090;
22;11;Compute the sum of the following numbers: 89, 48, 10, 16, 46, 31, 58, 15, 38, 25, 13, 49, 19, 32, 68, 97, 54, 53, 83, 30, 89, 73;1036;1076;
22;12;Compute the sum of the following numbers: 70, 6, 35, 18, 39, 12, 50, 74, 37, 57, 41, 6, 80, 88, 73, 6, 2, 39, 46, 97, 17, 96;989;1044;
22;13;Compute the sum of the following numbers: 53, 20, 94, 22, 17, 92, 25, 83, 97, 72, 70, 67, 74, 45, 93, 22, 25, 74, 6, 86, 14, 14;1165;1091;
22;14;Compute the sum of the following numbers: 29, 16, 2, 5, 43, 18, 33, 99, 41, 96, 98, 13, 48, 39, 20, 42, 92, 45, 74, 52, 40, 87;1032;1054;
22;15;Compute the sum of the following numbers: 82, 40, 52, 51, 33, 55, 8, 81, 38, 35, 48, 50, 3, 52, 41, 2, 94, 35, 29, 23, 14, 35;901;973;
22;16;Compute the sum of the following numbers: 52, 26, 80, 83, 85, 23, 60, 37, 1, 94, 3, 42, 25, 89, 39, 1, 88, 55, 33, 79, 74, 98;1167;1190;
22;17;Compute the sum of the following numbers: 55, 71, 84, 7, 27, 38, 31, 77, 14, 19, 22, 43, 62, 27, 65, 94, 62, 92, 14, 82, 15, 86;1087;1049;
22;18;Compute the sum of the following numbers: 86, 84, 13, 20, 49, 63, 66, 1, 57, 43, 59, 1, 31, 39, 6, 40, 74, 16, 9, 19, 69, 8;853;923;
22;19;Compute the sum of the following numbers: 40, 39, 49, 66, 62, 40, 14, 24, 88, 64, 16, 7, 79, 70, 97, 48, 49, 2, 80, 41, 41, 7;1023;1055;
23;0;Compute the sum of the following numbers: 85, 32, 45, 8, 38, 33, 3, 39, 57, 56, 55, 82, 48, 60, 35, 38, 63, 57, 24, 12, 8, 11, 98;987;1030;
23;1;Compute the sum of the following numbers: 27, 21, 51, 13, 56, 56, 80, 14, 35, 47, 13, 14, 29, 76, 93, 11, 74, 4, 43, 78, 78, 22, 46;981;1040;
23;2;Compute the sum of the following numbers: 89, 61, 63, 51, 56, 32, 95, 44, 58, 76, 64, 76, 43, 53, 90, 68, 22, 82, 18, 49, 34, 18, 42;1284;1233;
23;3;Compute the sum of the following numbers: 6, 44, 38, 54, 82, 95, 23, 95, 18, 79, 60, 78, 58, 29, 83, 88, 73, 17, 56, 78, 69, 15, 22;1260;1364;
23;4;Compute the sum of the following numbers: 96, 45, 8, 37, 17, 84, 10, 75, 75, 49, 88, 88, 93, 81, 35, 1, 73, 9, 79, 51, 36, 47, 32;1209;1230;
23;5;Compute the sum of the following numbers: 70, 96, 74, 55, 57, 80, 86, 72, 95, 41, 2, 28, 96, 99, 87, 54, 66, 50, 16, 65, 68, 48, 85;1490;1381;
23;6;Compute the sum of the following numbers: 6, 65, 94, 43, 1, 13, 39, 74, 55, 42, 55, 55, 93, 80, 59, 87, 51, 69, 46, 100, 71, 76, 2;1276;1322;
23;7;Compute the sum of the following numbers: 67, 42, 73, 55, 86, 19, 17, 15, 51, 78, 22, 51, 82, 10, 33, 60, 97, 60, 9, 43, 15, 45, 93;1123;1058;
23;8;Compute the sum of the following numbers: 86, 51, 44, 10, 51, 16, 6, 13, 2, 46, 93, 29, 30, 59, 84, 22, 65, 100, 90, 38, 17, 75, 64;1091;1064;
23;9;Compute the sum of the following numbers: 23, 67, 94, 2, 49, 99, 2, 51, 23, 71, 82, 99, 10, 80, 91, 98, 16, 46, 53, 49, 94, 13, 23;1235;1344;
23;10;Compute the sum of the following numbers: 42, 51, 43, 95, 44, 92, 41, 13, 29, 23, 57, 51, 41, 73, 90, 5, 93, 93, 84, 28, 39, 27, 76;1230;1054;
23;11;Compute the sum of the following numbers: 58, 99, 80, 35, 13, 95, 73, 47, 2, 15, 41, 44, 77, 99, 19, 12, 28, 34, 7, 79, 58, 66, 14;1095;1089;
23;12;Compute the sum of the following numbers: 67, 77, 90, 54, 82, 90, 10, 98, 6, 61, 60, 46, 74, 54, 63, 24, 4, 75, 96, 68, 52, 65, 82;1398;1473;
23;13;Compute the sum of the following numbers: 79, 47, 12, 51, 93, 10, 5, 47, 54, 2, 21, 56, 7, 75, 73, 6, 97, 64, 73, 38, 68, 64, 7;1049;1037;
23;14;Compute the sum of the following numbers: 82, 93, 10, 38, 4, 89, 79, 87, 56, 57, 62, 51, 26, 17, 16, 18, 66, 12, 28, 20, 46, 8, 94;1059;1089;
23;15;Compute the sum of the following numbers: 37, 81, 19, 31, 31, 34, 31, 4, 70, 51, 31, 96, 11, 4, 19, 14, 41, 10, 70, 68, 63, 70, 1;887;930;
23;16;Compute the sum of the following numbers: 73, 54, 18, 27, 70, 16, 8, 7, 21, 81, 86, 90, 59, 67, 8, 13, 52, 79, 23, 8, 10, 66, 50;986;951;
23;17;Compute the sum of the following numbers: 95, 49, 64, 4, 31, 77, 74, 90, 97, 94, 64, 30, 71, 32, 64, 27, 67, 89, 3, 97, 44, 70, 49;1382;1249;
23;18;Compute the sum of the following numbers: 72, 60, 4, 100, 88, 78, 55, 1, 8, 72, 14, 56, 9, 68, 67, 77, 44, 35, 1, 23, 23, 10, 100;1065;1054;
23;19;Compute the sum of the following numbers: 100, 95, 14, 70, 30, 62, 77, 13, 93, 14, 100, 82, 8, 95, 11, 39, 60, 73, 60, 24, 34, 2, 68;1224;1171;
24;0;Compute the sum of the following numbers: 62, 42, 88, 95, 15, 10, 34, 29, 46, 13, 32, 86, 45, 54, 94, 27, 99, 15, 83, 86, 52, 95, 82, 53;1337;1324;
24;1;Compute the sum of the following numbers: 22, 82, 72, 70, 51, 37, 73, 69, 75, 23, 5, 21, 18, 82, 37, 1, 90, 34, 78, 77, 72, 17, 31, 82;1219;1258;
24;2;Compute the sum of the following numbers: 55, 44, 43, 39, 42, 38, 13, 33, 62, 80, 81, 63, 41, 8, 56, 11, 47, 13, 19, 93, 96, 2, 77, 87;1143;1076;
24;3;Compute the sum of the following numbers: 69, 88, 58, 79, 20, 24, 22, 87, 8, 9, 25, 8, 32, 26, 16, 91, 56, 62, 42, 81, 48, 79, 36, 80;1146;1088;
24;4;Compute the sum of the following numbers: 100, 4, 2, 21, 84, 52, 49, 41, 37, 55, 60, 44, 23, 34, 73, 54, 56, 4, 65, 35, 43, 99, 63, 10;1108;1098;
24;5;Compute the sum of the following numbers: 5, 60, 96, 10, 31, 74, 50, 31, 51, 6, 92, 73, 32, 24, 4, 80, 24, 38, 44, 99, 79, 33, 79, 69;1184;1188;
24;6;Compute the sum of the following numbers: 44, 92, 76, 64, 90, 17, 57, 29, 75, 19, 69, 79, 3, 60, 91, 89, 78, 92, 63, 90, 9, 69, 35, 36;1426;1452;
24;7;Compute the sum of the following numbers: 84, 51, 33, 37, 14, 45, 5, 18, 18, 39, 80, 46, 5, 41, 98, 82, 47, 69, 30, 34, 7, 83, 95, 49;1110;1038;
24;8;Compute the sum of the following numbers: 32, 36, 37, 46, 22, 30, 28, 99, 1, 15, 21, 55, 47, 42, 80, 4, 5, 51, 76, 17, 96, 41, 67, 68;1016;1038;
24;9;Compute the sum of the following numbers: 72, 65, 9, 23, 46, 68, 46, 84, 9, 47, 92, 98, 4, 18, 25, 37, 66, 51, 33, 22, 77, 7, 58, 79;1136;1066;
24;10;Compute the sum of the following numbers: 93, 68, 2, 77, 84, 17, 59, 45, 73, 85, 80, 90, 84, 47, 32, 60, 82, 71, 13, 49, 92, 3, 66, 92;1464;1353;
24;11;Compute the sum of the following numbers: 63, 96, 70, 93, 96, 70, 21, 93, 9, 78, 25, 33, 65, 8, 61, 66, 94, 8, 28, 56, 87, 28, 74, 94;1416;1524;
24;12;Compute the sum of the following numbers: 16, 58, 38, 63, 4, 89, 25, 76, 3, 49, 99, 29, 26, 24, 98, 60, 1, 64, 51, 57, 34, 40, 51, 51;1106;1089;
24;13;Compute the sum of the following numbers: 45, 100, 35, 5, 46, 28, 41, 10, 99, 28, 94, 13, 6, 72, 76, 43, 11, 68, 74, 6, 59, 97, 14, 52;1122;1058;
24;14;Compute the sum of the following numbers: 64, 62, 4, 39, 64, 81, 74, 27, 16, 25, 50, 51, 90, 17, 23, 78, 89, 53, 61, 16, 86, 20, 20, 45;1155;1231;
24;15;Compute the sum of the following numbers: 55, 19, 24, 58, 39, 12, 70, 65, 49, 47, 48, 66, 1, 86, 28, 5, 19, 33, 80, 81, 20, 61, 8, 57;1031;1194;
