Operator,Sequence Length,Repetition Number,Sequence,True Value,GPT-4 Value,
*,15,14,61 * 29 * 107 * 17 * 41 * 43 * 83 * 103 * 17 * 79 * 103 * 103 * 29 * 7 * 29,4067922395786432715995533,3327835968142828662659118873049085262067,
*,15,15,13 * 83 * 2 * 37 * 11 * 3 * 37 * 71 * 109 * 127 * 79 * 41 * 59 * 97 * 37,65719433922080272928022,373463680038213877068950474811621798186,
*,15,16,53 * 17 * 101 * 103 * 13 * 103 * 53 * 31 * 83 * 19 * 41 * 23 * 103 * 13 * 127,5214698622615696007317173,14180439403692247171089625922321498312855707,
*,15,17,71 * 29 * 127 * 3 * 13 * 101 * 73 * 23 * 31 * 11 * 3 * 61 * 103 * 19 * 83,17529564683692341921069,270738859736991745023,
*,15,18,103 * 97 * 61 * 73 * 37 * 103 * 7 * 17 * 89 * 2 * 103 * 3 * 61 * 31 * 89,186770198988611264171586,1154621019436736303438727912581986,
*,15,19,29 * 5 * 23 * 67 * 41 * 31 * 107 * 31 * 7 * 101 * 31 * 31 * 71 * 13 * 2,1181506625028252716830,34505857312345697000,
*,16,0,61 * 61 * 97 * 79 * 3 * 2 * 41 * 13 * 11 * 23 * 23 * 43 * 7 * 37 * 113 * 83,55425557184356403142098,19556667845539874325426,
*,16,1,101 * 61 * 59 * 2 * 73 * 7 * 109 * 29 * 107 * 127 * 89 * 67 * 47 * 11 * 61 * 31,93027851726969800491101482,28464059856621117241446844140,
*,16,2,43 * 11 * 41 * 29 * 17 * 73 * 97 * 37 * 109 * 31 * 17 * 83 * 11 * 73 * 107 * 7,7182916265500611760757479,195770750559921771903646679347,
*,16,3,31 * 2 * 61 * 31 * 71 * 107 * 53 * 19 * 43 * 73 * 2 * 7 * 23 * 73 * 5 * 79,26140985634866817783740,31926398786825447392840,
*,16,4,11 * 73 * 7 * 53 * 3 * 109 * 101 * 71 * 13 * 101 * 17 * 67 * 89 * 59 * 67 * 103,37858153336618672369409097,2009717057468964386472422241981313497,
*,16,5,107 * 43 * 59 * 23 * 67 * 13 * 79 * 31 * 43 * 89 * 5 * 113 * 3 * 17 * 113 * 29,4812741643228037739544155,218509897211066903131702218815215,
*,16,6,13 * 103 * 7 * 71 * 43 * 101 * 37 * 73 * 53 * 71 * 17 * 113 * 41 * 47 * 11 * 71,84926985894772731750409369,2720572026944714715337372441340,
*,16,7,127 * 41 * 127 * 5 * 97 * 89 * 113 * 7 * 107 * 13 * 67 * 19 * 23 * 59 * 109 * 101,597286612177964511566301265,51329427339365801446769157360,
*,16,8,17 * 97 * 107 * 43 * 41 * 47 * 37 * 109 * 31 * 71 * 109 * 43 * 101 * 79 * 67 * 31,10080516463581815639980886839,13155756822797926185019123689789,
*,16,9,23 * 23 * 37 * 107 * 109 * 41 * 19 * 41 * 83 * 31 * 7 * 97 * 103 * 29 * 109 * 103,427166800494094358333058563,3382959654466241779514307188462958327,
*,16,10,79 * 71 * 53 * 97 * 127 * 101 * 127 * 7 * 37 * 127 * 37 * 71 * 5 * 17 * 113 * 2,77974532976186293523162310,24168579249399973809177545130,
*,16,11,19 * 17 * 61 * 89 * 17 * 19 * 31 * 41 * 103 * 3 * 19 * 89 * 89 * 79 * 83 * 23,5048885830917568102839111,13130609311872919538183607,
*,16,12,83 * 113 * 7 * 19 * 41 * 67 * 109 * 5 * 127 * 43 * 3 * 31 * 89 * 47 * 127 * 109,54920761095843027937693785,2274781641659525770108659573025,
*,16,13,2 * 79 * 29 * 3 * 41 * 53 * 53 * 61 * 2 * 47 * 53 * 17 * 109 * 19 * 29 * 103,50595248882313033081132,137539493912934891314822452,
*,16,14,107 * 41 * 113 * 31 * 73 * 67 * 43 * 47 * 37 * 5 * 23 * 7 * 97 * 17 * 29 * 5,1081827483518518157144675,2609910132765167196422387162040,
*,16,15,113 * 17 * 113 * 7 * 23 * 59 * 19 * 71 * 19 * 2 * 37 * 79 * 73 * 2 * 73 * 83,273313992296253228355028,307053971743017956646568434298282834,
*,16,16,101 * 17 * 23 * 61 * 59 * 103 * 97 * 3 * 61 * 127 * 11 * 73 * 43 * 47 * 73 * 127,496537653283617943316137467,131926778276925769259477747,
*,16,17,37 * 71 * 67 * 3 * 2 * 79 * 67 * 79 * 67 * 2 * 103 * 2 * 101 * 47 * 67 * 101,391563803195883870331848,1301075032362039734311754,
*,16,18,2 * 113 * 73 * 67 * 89 * 41 * 19 * 43 * 113 * 2 * 127 * 41 * 83 * 7 * 31 * 13,907986135731831006751628,182364587662577675006788493370182,
*,16,19,127 * 31 * 101 * 37 * 31 * 113 * 89 * 17 * 5 * 79 * 113 * 83 * 61 * 83 * 107 * 107,16745444964658945852395693985,15455850946142224564823589729096577890,
*,17,0,23 * 3 * 127 * 127 * 61 * 37 * 113 * 103 * 89 * 79 * 113 * 43 * 83 * 61 * 5 * 59 * 11,16409312485385454748374279645,176776388467202058759239939278757500000,
*,17,1,73 * 23 * 43 * 29 * 53 * 13 * 37 * 7 * 103 * 113 * 43 * 31 * 37 * 61 * 13 * 73 * 31,384894245925524606181506323,69907227412978410690719243193,
*,17,2,67 * 47 * 67 * 53 * 5 * 67 * 79 * 89 * 43 * 53 * 127 * 53 * 31 * 127 * 89 * 107 * 71,1075490804467869359729547919835,14208888632066619221424313906712440242200,
*,17,3,53 * 79 * 59 * 3 * 19 * 79 * 107 * 83 * 73 * 3 * 7 * 113 * 101 * 43 * 113 * 2 * 2,3359445903082256953604436,1686091646727106272134689792,
*,17,4,127 * 37 * 59 * 113 * 37 * 41 * 41 * 103 * 11 * 43 * 109 * 89 * 13 * 59 * 127 * 83 * 37,275485730927214636570097568641,229318979836671982663384462791398081351557807621,
*,17,5,79 * 67 * 41 * 103 * 53 * 61 * 41 * 71 * 47 * 113 * 101 * 13 * 79 * 67 * 79 * 53 * 43,1397929350955603128615889246063,320850080748698142774491060559209807908209209,
*,17,6,13 * 103 * 109 * 53 * 73 * 127 * 113 * 5 * 43 * 71 * 3 * 73 * 107 * 17 * 103 * 107 * 2,1086206981126514888650647170,1044676816981966611232013600,
*,17,7,47 * 47 * 71 * 71 * 5 * 113 * 29 * 103 * 53 * 101 * 59 * 73 * 31 * 79 * 71 * 83 * 23,143820654600871744745108086295,3975441484129714898459787105900,
*,17,8,5 * 61 * 23 * 127 * 101 * 127 * 31 * 11 * 101 * 67 * 101 * 127 * 41 * 2 * 113 * 61 * 11,2103037211860777659127907290,12771528183637231895491501040158207472628262,
*,17,9,11 * 5 * 97 * 37 * 67 * 79 * 89 * 29 * 47 * 29 * 19 * 3 * 43 * 83 * 19 * 37 * 101,53090889858353499852384795,19107824387742307156753915,
*,17,10,67 * 61 * 13 * 13 * 53 * 47 * 71 * 97 * 59 * 41 * 53 * 107 * 23 * 109 * 3 * 97 * 83,9842741600608767615789679629,27522170601083922940558964796729021,
*,17,11,37 * 109 * 17 * 79 * 43 * 97 * 89 * 127 * 59 * 71 * 127 * 5 * 47 * 47 * 41 * 113 * 103,716007346835312545604887551155,486260104945627996334197431592927973605,
*,17,12,47 * 41 * 19 * 11 * 17 * 37 * 101 * 53 * 101 * 107 * 113 * 101 * 127 * 37 * 101 * 103 * 41,335219102171231253000291207337,383633022810197136162882693098213074437641,
*,17,13,11 * 2 * 23 * 127 * 103 * 103 * 7 * 19 * 71 * 3 * 17 * 101 * 89 * 13 * 11 * 73 * 71,2187446700262804507581054,2264500763675353846342223337112143,
*,17,14,83 * 67 * 37 * 61 * 67 * 67 * 89 * 53 * 113 * 41 * 109 * 61 * 101 * 107 * 83 * 31 * 83,18894769532459948239328985297821,1410316674778699359392358398477096109261071672147,
*,17,15,59 * 47 * 19 * 83 * 67 * 37 * 2 * 79 * 107 * 83 * 71 * 7 * 19 * 73 * 7 * 31 * 83,188863364751418683364335178,34548836716594202716841165932,
*,17,16,101 * 43 * 79 * 59 * 127 * 11 * 17 * 113 * 43 * 41 * 41 * 53 * 7 * 127 * 97 * 73 * 127,166381416817696980758916649207,1180481992917491362792413593032861,
*,17,17,79 * 83 * 103 * 7 * 5 * 41 * 109 * 7 * 67 * 127 * 67 * 127 * 107 * 13 * 53 * 67 * 89,23536598753356774070621958595,2130185949512899693158152159340802890176595758075,
*,17,18,29 * 5 * 2 * 47 * 37 * 11 * 13 * 17 * 71 * 53 * 71 * 97 * 17 * 103 * 107 * 103 * 29,17780828226092695802514190,2860697394601262372520912541019260,
*,17,19,127 * 2 * 23 * 107 * 2 * 59 * 2 * 89 * 29 * 17 * 29 * 107 * 19 * 73 * 53 * 109 * 29,4667161844641147887698984,222632895144355890750986042258128282398,
*,18,0,79 * 53 * 83 * 47 * 31 * 5 * 41 * 107 * 79 * 67 * 127 * 43 * 127 * 5 * 73 * 109 * 37 * 103,6181791405741076335697896644075,121481718014441891746467970915102295,
*,18,1,67 * 41 * 5 * 29 * 73 * 59 * 59 * 7 * 43 * 43 * 11 * 79 * 5 * 3 * 97 * 17 * 109 * 107,328420655072301955798998825,1394626899252925566225465351185,
*,18,2,59 * 107 * 37 * 107 * 89 * 61 * 101 * 5 * 23 * 79 * 31 * 101 * 17 * 47 * 11 * 11 * 107 * 113,455685150713033898640736188645,2557388707266101158165709073976705493007057196340,
*,18,3,113 * 29 * 23 * 109 * 107 * 73 * 47 * 73 * 107 * 107 * 23 * 89 * 89 * 103 * 31 * 43 * 109 * 7,48108902325292711656743589409621,21660376147017429476017157728696721489,
*,18,4,31 * 41 * 13 * 31 * 79 * 17 * 107 * 11 * 17 * 127 * 7 * 113 * 3 * 89 * 17 * 41 * 127 * 101,3300664120376209703048223291,2815858806934332796417104067,
*,18,5,41 * 5 * 107 * 2 * 103 * 127 * 73 * 31 * 113 * 43 * 59 * 17 * 17 * 79 * 13 * 37 * 53 * 19,4117101043002352060921679570,4443132679701976615942122182020,
*,18,6,47 * 97 * 127 * 73 * 31 * 53 * 73 * 31 * 59 * 31 * 109 * 7 * 29 * 29 * 11 * 89 * 107 * 2,38641056760811493724716476342,33807888619526736363022219437034400,
*,18,7,31 * 2 * 59 * 97 * 79 * 5 * 89 * 59 * 2 * 31 * 107 * 61 * 3 * 43 * 113 * 103 * 47 * 79,1660313806088419587346436940,32999437828871678271839840,
*,18,8,59 * 107 * 19 * 43 * 31 * 43 * 13 * 2 * 61 * 127 * 11 * 5 * 5 * 23 * 7 * 23 * 53 * 31,2316961772989262711161850,85042707392951225443627672590,
*,18,9,113 * 109 * 11 * 113 * 79 * 17 * 2 * 113 * 11 * 97 * 17 * 89 * 113 * 43 * 37 * 83 * 97 * 73,792656780918187322381142096462,1407695142458883432692077229569394226345472,
*,18,10,7 * 59 * 89 * 109 * 67 * 79 * 43 * 29 * 13 * 89 * 71 * 109 * 37 * 71 * 7 * 31 * 127 * 47,805702098606897773344271658359,237289098939165278210209117644178623,
*,18,11,19 * 43 * 41 * 19 * 83 * 127 * 127 * 79 * 19 * 73 * 79 * 29 * 5 * 3 * 103 * 3 * 2 * 79,156632007971744214728399190,34829749334972468723260434600,
*,18,12,19 * 97 * 67 * 37 * 71 * 29 * 53 * 83 * 47 * 103 * 7 * 83 * 53 * 89 * 41 * 11 * 17 * 13,54721510567778843036230101119,281841706137127771234574717607,
*,18,13,127 * 3 * 71 * 31 * 101 * 43 * 103 * 109 * 5 * 5 * 29 * 5 * 61 * 71 * 47 * 13 * 47 * 113,2083110349068973885559442375,901827945385913174123397015305,
*,18,14,13 * 31 * 83 * 89 * 67 * 73 * 47 * 7 * 113 * 83 * 89 * 31 * 11 * 79 * 43 * 67 * 113 * 31,1087121573718558242148134823973,124309129236914197759442788347867132439611,
*,18,15,29 * 101 * 127 * 19 * 2 * 53 * 31 * 89 * 7 * 67 * 67 * 37 * 53 * 73 * 113 * 53 * 31 * 101,174349111792589551250501590718,143831670752932874967830989037903229587686594671,
*,18,16,37 * 109 * 2 * 107 * 83 * 5 * 61 * 3 * 71 * 79 * 97 * 67 * 103 * 61 * 29 * 71 * 43 * 47,62468759037009586090601965530,3190511402402099352562646038100,
*,18,17,103 * 37 * 59 * 7 * 107 * 17 * 59 * 73 * 47 * 47 * 67 * 73 * 107 * 3 * 47 * 23 * 89 * 11,45258834733919345390571869919,224992619745494104171934272849,
*,18,18,17 * 11 * 67 * 5 * 47 * 109 * 43 * 47 * 101 * 7 * 113 * 41 * 103 * 113 * 41 * 79 * 17 * 47,63992959044381371453842916215,10412795419241142225942778842234180,
*,18,19,109 * 23 * 19 * 107 * 13 * 97 * 47 * 113 * 61 * 23 * 3 * 2 * 53 * 73 * 71 * 89 * 127 * 5,4460800824747967372105565730,81129904513269439197942124527260,
*,19,0,23 * 5 * 3 * 53 * 29 * 101 * 103 * 23 * 7 * 53 * 61 * 71 * 109 * 83 * 7 * 13 * 109 * 109 * 79,157531555097025962304107165055,1900109466369754267113585405277186700,
*,19,1,71 * 101 * 13 * 31 * 5 * 13 * 97 * 97 * 31 * 13 * 61 * 127 * 83 * 113 * 3 * 73 * 71 * 5 * 73,293719012760818469527034394075,1261074349775877110082033025531640875,
*,19,2,79 * 17 * 5 * 53 * 13 * 73 * 97 * 43 * 53 * 41 * 97 * 127 * 53 * 47 * 29 * 107 * 109 * 97 * 79,243469350417160514537826036261485,269123804570066671896441924972460689908583670215312481686201723209107,
*,19,3,31 * 59 * 47 * 83 * 17 * 127 * 41 * 97 * 89 * 67 * 3 * 5 * 43 * 47 * 11 * 89 * 43 * 23 * 73,782748266605818905350644472545,13391950181653667906818472245,
*,19,4,101 * 31 * 41 * 59 * 37 * 113 * 109 * 59 * 101 * 73 * 109 * 11 * 101 * 89 * 103 * 83 * 41 * 29 * 11,1809432003359397474240801961287527,20910575225219695496444003720980,
*,19,5,7 * 107 * 31 * 127 * 113 * 59 * 107 * 59 * 79 * 11 * 43 * 23 * 41 * 107 * 19 * 29 * 71 * 2 * 23,842102503827320244614596481606,39984556267834494105660422319746100,
*,19,6,79 * 37 * 47 * 5 * 97 * 7 * 17 * 17 * 89 * 13 * 113 * 67 * 47 * 67 * 31 * 37 * 11 * 29 * 59,80265640025537483676721917355,247961738610531236907921969557461955566879100,
*,19,7,53 * 59 * 109 * 61 * 5 * 47 * 3 * 3 * 67 * 79 * 2 * 83 * 5 * 71 * 29 * 7 * 79 * 61 * 59,791658532302370326898356150,19492558510337862122199116660,
*,19,8,103 * 11 * 23 * 5 * 13 * 11 * 13 * 19 * 31 * 109 * 41 * 89 * 11 * 5 * 7 * 89 * 7 * 61 * 7,5811649943138335432961825,1551154022522364674525010658075,
*,19,9,67 * 19 * 73 * 47 * 67 * 3 * 71 * 113 * 7 * 43 * 23 * 43 * 2 * 83 * 73 * 3 * 67 * 29 * 103,15254816458625561864715851826,19928173321951605926982941641114200,
*,19,10,31 * 3 * 73 * 17 * 31 * 3 * 29 * 11 * 61 * 67 * 37 * 113 * 23 * 103 * 7 * 109 * 17 * 101 * 43,7808030773739332962363439209,4763661609798509112949776587791982898343491,
*,19,11,73 * 83 * 23 * 101 * 107 * 29 * 67 * 67 * 59 * 53 * 71 * 73 * 2 * 97 * 59 * 37 * 109 * 83 * 113,1375717091330129295696013952329438,24101425813113725643161069276616980,
*,19,12,79 * 53 * 13 * 41 * 23 * 7 * 101 * 109 * 19 * 59 * 113 * 41 * 109 * 113 * 19 * 83 * 2 * 2 * 59,94171712525045361380848720228,20692309001343351578616026400,
*,19,13,59 * 17 * 79 * 71 * 43 * 67 * 41 * 97 * 17 * 37 * 97 * 67 * 31 * 97 * 61 * 73 * 29 * 13 * 109,144989441209354932614991584341987,18976580664297517674060063716489113,
*,19,14,61 * 7 * 61 * 67 * 5 * 5 * 97 * 127 * 13 * 5 * 29 * 127 * 83 * 59 * 61 * 107 * 101 * 37 * 113,1736634042961404755955096776375,51589653907923162999808173274543699624573500,
*,19,15,5 * 71 * 103 * 83 * 53 * 97 * 47 * 109 * 113 * 59 * 79 * 29 * 17 * 43 * 83 * 107 * 61 * 29 * 97,1360034697698150354898703073048035,218447758172746589967039261747103,
*,19,16,29 * 107 * 47 * 109 * 53 * 127 * 13 * 61 * 11 * 17 * 3 * 2 * 11 * 67 * 89 * 23 * 97 * 101 * 13,18292520783169379357980623826,3266591288960971438745595762044741826,
*,19,17,3 * 5 * 19 * 83 * 61 * 107 * 43 * 109 * 83 * 73 * 5 * 7 * 71 * 23 * 5 * 3 * 13 * 101 * 107,528112519458610389123877875,3343477722377517225645271985,
*,19,18,101 * 31 * 89 * 101 * 23 * 29 * 101 * 3 * 61 * 67 * 43 * 2 * 113 * 101 * 113 * 61 * 107 * 7 * 31,3651889320623140771214038276698,135288853609272221295545706954327209678308282600,
*,19,19,67 * 17 * 113 * 17 * 23 * 73 * 31 * 83 * 31 * 47 * 47 * 97 * 37 * 2 * 41 * 31 * 31 * 43 * 97,763571779674113293114847347346,37128850374617414885092168798,
*,20,0,5 * 103 * 89 * 127 * 19 * 47 * 61 * 19 * 31 * 53 * 113 * 31 * 79 * 113 * 11 * 19 * 7 * 79 * 47 * 43,72303083327406118220639483789065,31020108010245622953469017940790,
*,20,1,101 * 2 * 79 * 3 * 5 * 89 * 61 * 37 * 37 * 5 * 107 * 83 * 101 * 103 * 31 * 19 * 7 * 37 * 37 * 73,338628202671841239373797967050,63996082114631810441211840540,
*,20,2,29 * 19 * 11 * 29 * 13 * 2 * 37 * 41 * 2 * 31 * 101 * 59 * 43 * 113 * 13 * 2 * 17 * 61 * 19 * 109,694936924475083112447908712,1534729927436093156492950113986538,
*,20,3,73 * 97 * 89 * 43 * 47 * 23 * 97 * 83 * 59 * 101 * 53 * 53 * 67 * 41 * 17 * 23 * 61 * 107 * 2 * 29,1605205817120554968649857253100674,20444078612424739197383131470628400,
*,20,4,67 * 127 * 5 * 97 * 19 * 29 * 101 * 5 * 43 * 109 * 59 * 41 * 79 * 79 * 17 * 97 * 107 * 107 * 29 * 43,1912946870192831910978764285580325,18246241192223387711460754956081418103000,
*,20,5,61 * 29 * 31 * 41 * 59 * 19 * 127 * 103 * 47 * 17 * 109 * 29 * 73 * 29 * 2 * 83 * 53 * 67 * 97 * 7,70557081668044775646628610002318,28223090119222115402385680564140,
*,20,6,11 * 61 * 101 * 67 * 67 * 7 * 5 * 23 * 53 * 31 * 7 * 31 * 19 * 67 * 79 * 61 * 101 * 103 * 109 * 23,13969631153951438092228883812415,1588138261299782519354777549659269055700,
*,20,7,13 * 53 * 59 * 127 * 113 * 11 * 71 * 23 * 3 * 73 * 13 * 47 * 109 * 17 * 3 * 23 * 29 * 47 * 43 * 53,556906496408499544834123588563,14148217240212503427663451397000,
*,20,8,37 * 107 * 103 * 61 * 103 * 31 * 61 * 43 * 67 * 23 * 23 * 31 * 23 * 67 * 2 * 2 * 109 * 37 * 2 * 97,1103912169834140467474526984792,36276480031807220121423834200,
*,20,9,19 * 107 * 19 * 89 * 97 * 59 * 79 * 73 * 71 * 7 * 19 * 73 * 3 * 73 * 37 * 17 * 5 * 59 * 37 * 109,12818361982734558056482205631045,36962471899083223836382568579448553200,
*,20,10,43 * 83 * 59 * 89 * 109 * 5 * 31 * 61 * 97 * 127 * 47 * 59 * 101 * 2 * 19 * 107 * 19 * 2 * 31 * 61,19469993014873749897003701573980,19996357791410416328358611825639540,
*,20,11,3 * 19 * 59 * 61 * 41 * 2 * 37 * 31 * 19 * 59 * 107 * 47 * 101 * 73 * 127 * 29 * 67 * 43 * 61 * 97,50351452253976167713020729182214,6203891722860308777317960601801674029399800,
*,20,12,107 * 109 * 103 * 71 * 67 * 17 * 59 * 107 * 37 * 29 * 107 * 11 * 37 * 43 * 17 * 127 * 23 * 89 * 59 * 2,642634769548880071704048414654482,31919417423639181034404206258113400,
*,20,13,53 * 17 * 101 * 7 * 5 * 103 * 73 * 79 * 2 * 47 * 59 * 43 * 17 * 83 * 61 * 19 * 2 * 2 * 19 * 47,2635552100897325262119326440,47277672297174619597977279800,
*,20,14,37 * 127 * 71 * 7 * 59 * 5 * 5 * 107 * 67 * 43 * 53 * 2 * 83 * 97 * 3 * 7 * 67 * 23 * 107 * 13,40792999999857670798772161350,28985581396429873292587834000,
*,20,15,59 * 3 * 83 * 79 * 5 * 67 * 67 * 101 * 37 * 127 * 107 * 67 * 101 * 43 * 83 * 43 * 19 * 71 * 83 * 127,19535008263850099758122784583598265,1240758962939783242605900088926603782794317180750,
*,20,16,97 * 89 * 11 * 31 * 29 * 41 * 43 * 103 * 127 * 127 * 83 * 3 * 83 * 79 * 13 * 61 * 53 * 41 * 2 * 53,74568328189526651683499050783314,340282366920938463463374607431768211456,
*,20,17,13 * 107 * 101 * 67 * 17 * 19 * 47 * 19 * 107 * 11 * 43 * 97 * 19 * 23 * 29 * 2 * 113 * 5 * 47 * 59,529299749330512710359177194970,24786399078201236630534170620,
*,20,18,31 * 11 * 11 * 127 * 43 * 113 * 73 * 3 * 71 * 13 * 61 * 11 * 5 * 73 * 73 * 17 * 2 * 53 * 101 * 59,89827624908521650830850594710,2702318551789761740094820733571848254380,
*,20,19,13 * 13 * 19 * 59 * 83 * 103 * 113 * 127 * 3 * 103 * 83 * 127 * 37 * 83 * 83 * 71 * 61 * 17 * 41 * 79,4601888092723791902133530054781051,37889558311888864727285917896197,
*,21,0,89 * 17 * 19 * 43 * 73 * 17 * 73 * 5 * 3 * 7 * 5 * 13 * 97 * 89 * 19 * 83 * 43 * 101 * 79 * 19 * 7,474810459912651061756019005725,2566392049587840524018151478870556106100,
*,21,1,13 * 73 * 47 * 29 * 3 * 113 * 3 * 19 * 2 * 23 * 103 * 19 * 83 * 113 * 107 * 17 * 79 * 43 * 101 * 41 * 43,23219012607730195953323200137642,28225405721732048925887739636067493459763400,
*,21,2,41 * 79 * 2 * 97 * 97 * 97 * 31 * 17 * 11 * 109 * 29 * 2 * 2 * 89 * 43 * 67 * 31 * 127 * 61 * 3 * 23,1841287222776116649732985958424,2187904692918178195478174218223614,
*,21,3,109 * 41 * 29 * 53 * 43 * 83 * 29 * 17 * 109 * 67 * 7 * 7 * 5 * 109 * 97 * 103 * 41 * 37 * 2 * 67 * 2,9574164963352122707237063968540,2673295400986682402413986867900,
*,21,4,53 * 5 * 19 * 31 * 11 * 23 * 41 * 17 * 47 * 43 * 109 * 71 * 17 * 113 * 19 * 3 * 19 * 107 * 37 * 107 * 53,20107894534579473205453090058805,30602830653220654448657836758346475622011421400,
*,21,5,2 * 113 * 17 * 31 * 41 * 31 * 97 * 61 * 89 * 67 * 29 * 23 * 89 * 7 * 47 * 59 * 41 * 67 * 101 * 29 * 41,2030283202503251952904962524318458,190953192438128223087026936607128109662642489,
*,21,6,43 * 5 * 73 * 13 * 31 * 107 * 19 * 61 * 37 * 5 * 23 * 113 * 7 * 127 * 109 * 59 * 101 * 67 * 127 * 79 * 5,731962532954933889669793512290875,912223959844935748828897074527138529775,
*,21,7,59 * 61 * 73 * 37 * 43 * 113 * 19 * 11 * 11 * 19 * 13 * 29 * 29 * 109 * 127 * 17 * 61 * 23 * 67 * 73 * 3,109280073660392905785890040628677,162945576402469209225359563879282252371,
*,21,8,59 * 41 * 37 * 101 * 47 * 113 * 127 * 37 * 107 * 11 * 89 * 43 * 59 * 109 * 127 * 19 * 113 * 113 * 2 * 59 * 73,1734495684382086120944510187586026314,2893948749138282232370184044846121067420,
*,21,9,17 * 47 * 37 * 127 * 109 * 29 * 47 * 59 * 2 * 29 * 29 * 7 * 2 * 31 * 47 * 5 * 7 * 79 * 11 * 23 * 2,1579740750238676004920737720,15781431239785167881744740,
*,21,10,67 * 89 * 113 * 79 * 7 * 89 * 29 * 17 * 109 * 107 * 37 * 113 * 2 * 71 * 79 * 47 * 113 * 7 * 2 * 29 * 5,96423641361176517817969460480980,308195935926934514612718398900000,
*,21,11,11 * 5 * 19 * 19 * 47 * 53 * 97 * 31 * 41 * 83 * 3 * 103 * 17 * 73 * 19 * 31 * 47 * 13 * 79 * 73 * 13,5236234234821580229926932035505,1903194690175711598679218653591,
*,21,12,37 * 7 * 53 * 37 * 17 * 71 * 41 * 7 * 3 * 101 * 47 * 101 * 103 * 127 * 2 * 79 * 101 * 59 * 113 * 3 * 37,39093200338390188526026552805506,22720641500484824954925896290262473758214200,
*,21,13,61 * 67 * 127 * 107 * 79 * 53 * 97 * 107 * 17 * 97 * 71 * 79 * 83 * 13 * 59 * 83 * 59 * 5 * 107 * 71 * 83,21940700456750007892664351024155436165,3301947748513187267353721387156981979575906590,
*,21,14,59 * 79 * 3 * 61 * 37 * 17 * 17 * 11 * 61 * 5 * 3 * 97 * 127 * 11 * 101 * 103 * 89 * 47 * 127 * 13 * 127,113503417077220470259001585423595,70368744177664000000000,
*,21,15,103 * 61 * 37 * 19 * 47 * 11 * 29 * 7 * 79 * 43 * 2 * 43 * 101 * 13 * 19 * 79 * 37 * 2 * 5 * 107 * 71,750226210021684901253271583060,46153589323767284747064285171456780,
*,21,16,109 * 31 * 109 * 73 * 61 * 73 * 113 * 47 * 101 * 31 * 83 * 17 * 107 * 89 * 61 * 17 * 67 * 2 * 2 * 67 * 2,996250978292767316137485265150808,62226767069465696869189628863474628218279424,
*,21,17,83 * 5 * 43 * 113 * 101 * 101 * 23 * 61 * 71 * 73 * 37 * 5 * 79 * 113 * 83 * 13 * 47 * 107 * 101 * 101 * 5,68370651547769368015643941060234625,38335387217039903231137449515435270443075,
*,21,18,53 * 2 * 103 * 2 * 43 * 29 * 13 * 19 * 43 * 3 * 53 * 103 * 103 * 107 * 97 * 109 * 2 * 19 * 7 * 83 * 47,572685409408583988756754379592,15836237094172417650850923680,
*,21,19,43 * 7 * 2 * 97 * 2 * 113 * 107 * 11 * 71 * 11 * 59 * 29 * 13 * 7 * 109 * 11 * 79 * 83 * 19 * 41 * 71,821326312583140178922281810636,22739219293260503293910568828400,
*,22,0,103 * 2 * 71 * 71 * 41 * 3 * 53 * 41 * 61 * 41 * 59 * 5 * 103 * 109 * 47 * 37 * 113 * 47 * 83 * 2 * 17 * 2,119842559130996474811404243301560,20589952712472283193591861858484279600,
*,22,1,79 * 13 * 67 * 73 * 103 * 101 * 31 * 83 * 19 * 113 * 17 * 47 * 107 * 43 * 109 * 127 * 23 * 71 * 7 * 71 * 83 * 5,4947871785575681887899549362502733655,30583391345589727816270628265386054736871441365990583233937065844345,
*,22,2,107 * 109 * 5 * 2 * 37 * 73 * 83 * 11 * 67 * 53 * 3 * 47 * 31 * 3 * 61 * 109 * 41 * 29 * 31 * 71 * 47 * 31,339528435857799554244406867941690,286229704680868300000000,
*,22,3,29 * 79 * 53 * 107 * 109 * 31 * 29 * 71 * 17 * 29 * 47 * 47 * 59 * 37 * 101 * 83 * 43 * 19 * 31 * 97 * 37 * 89,14573783957374011168100434465466806251,1242979796475674621469078143663867144343479,
*,22,4,31 * 23 * 43 * 31 * 37 * 113 * 47 * 41 * 29 * 97 * 71 * 101 * 89 * 73 * 3 * 41 * 29 * 19 * 23 * 5 * 43 * 101,33969430262122172762517756565990305,25439784548660930462088555804592618600,
*,22,5,31 * 83 * 71 * 113 * 23 * 23 * 43 * 37 * 83 * 73 * 71 * 31 * 113 * 5 * 89 * 97 * 5 * 113 * 109 * 109 * 11 * 23,1919356194859236457239946883716305475,25141763113197594493167052462566245,
*,22,6,7 * 37 * 23 * 47 * 5 * 5 * 17 * 101 * 59 * 31 * 79 * 7 * 109 * 11 * 103 * 43 * 107 * 109 * 2 * 47 * 71 * 17,85417107624602187100839722592350,17077310798382568920509102928311848140,
*,22,7,31 * 2 * 11 * 2 * 109 * 109 * 59 * 47 * 73 * 29 * 5 * 37 * 23 * 59 * 61 * 3 * 23 * 71 * 103 * 41 * 43 * 97,125715323016050611647825126409260,2791581766767333679739292343411400,
